x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39531000.0000000         3434800.0000000          100.0000000              -4.76024951365198e-03    -8.52437085816211e+01    7.60629536807289e+01     -4.90621113380075e+02    
39531100.0000000         3434800.0000000          100.0000000              -4.75188816552150e-03    -8.20009956843379e+01    8.33880823048645e+01     -4.94106333759253e+02    
39531200.0000000         3434800.0000000          100.0000000              -4.74384075970066e-03    -7.90256020008611e+01    9.19250231567019e+01     -4.98375191657357e+02    
39531300.0000000         3434800.0000000          100.0000000              -4.73606342665141e-03    -7.66288117691702e+01    1.01790488356068e+02     -5.03345433027035e+02    
39531400.0000000         3434800.0000000          100.0000000              -4.72849291013280e-03    -7.48967449573060e+01    1.13133354026291e+02     -5.08936797518785e+02    
39531500.0000000         3434800.0000000          100.0000000              -4.72105510179698e-03    -7.40495041054207e+01    1.26016148797175e+02     -5.15359218369915e+02    
39531600.0000000         3434800.0000000          100.0000000              -4.71363125616474e-03    -7.47372521757937e+01    1.40394072719296e+02     -5.22671811380049e+02    
39531700.0000000         3434800.0000000          100.0000000              -4.70603955922196e-03    -7.74721105527711e+01    1.56115146156619e+02     -5.30571488607275e+02    
39531800.0000000         3434800.0000000          100.0000000              -4.69805237950991e-03    -8.27491997127141e+01    1.72943616673640e+02     -5.38885960595204e+02    
39531900.0000000         3434800.0000000          100.0000000              -4.68938159927119e-03    -9.12582416951001e+01    1.90473329894840e+02     -5.47262237817265e+02    
39532000.0000000         3434800.0000000          100.0000000              -4.67967876388317e-03    -1.03433926758487e+02    2.07944253196550e+02     -5.55047780491878e+02    
39532100.0000000         3434800.0000000          100.0000000              -4.66856124282475e-03    -1.19567211615755e+02    2.24303574441263e+02     -5.61541578376559e+02    
39532200.0000000         3434800.0000000          100.0000000              -4.65564025239244e-03    -1.39459062383974e+02    2.38491472299084e+02     -5.65935707895146e+02    
39532300.0000000         3434800.0000000          100.0000000              -4.64055680798799e-03    -1.62712247148029e+02    2.49362397787069e+02     -5.67467061273295e+02    
39532400.0000000         3434800.0000000          100.0000000              -4.62301425145073e-03    -1.88465308155927e+02    2.55936141423931e+02     -5.65411605661952e+02    
39532500.0000000         3434800.0000000          100.0000000              -4.60282278520932e-03    -2.15405050828325e+02    2.57614383769445e+02     -5.59119490062158e+02    
39532600.0000000         3434800.0000000          100.0000000              -4.57995869424316e-03    -2.41605584668726e+02    2.54021516466700e+02     -5.48555623278346e+02    
39532700.0000000         3434800.0000000          100.0000000              -4.55458073001985e-03    -2.65449491234990e+02    2.45210434952313e+02     -5.34379354123059e+02    
39532800.0000000         3434800.0000000          100.0000000              -4.52699076116836e-03    -2.85666157259076e+02    2.31832897399881e+02     -5.17421096260229e+02    
39532900.0000000         3434800.0000000          100.0000000              -4.49759295748677e-03    -3.01504145805084e+02    2.14942892458427e+02     -4.98618571915600e+02    
39533000.0000000         3434800.0000000          100.0000000              -4.46685327404691e-03    -3.12481986040885e+02    1.95586490606907e+02     -4.79019414770505e+02    
39533100.0000000         3434800.0000000          100.0000000              -4.43525334145764e-03    -3.18736342211537e+02    1.74801466127037e+02     -4.59462552427424e+02    
39533200.0000000         3434800.0000000          100.0000000              -4.40326646091131e-03    -3.20204697640347e+02    1.53647668360296e+02     -4.40587724021561e+02    
39533300.0000000         3434800.0000000          100.0000000              -4.37135862496896e-03    -3.17297548347260e+02    1.33051049575176e+02     -4.23479854759999e+02    
39533400.0000000         3434800.0000000          100.0000000              -4.33992378840967e-03    -3.10879244844227e+02    1.13780087433172e+02     -4.08694799804050e+02    
39533500.0000000         3434800.0000000          100.0000000              -4.30927097908856e-03    -3.01831592634226e+02    9.64329968370667e+01     -3.96634782906098e+02    
39533600.0000000         3434800.0000000          100.0000000              -4.27960937363512e-03    -2.91219937161252e+02    8.14268395239785e+01     -3.87439501772205e+02    
39533700.0000000         3434800.0000000          100.0000000              -4.25104700337985e-03    -2.80006228860120e+02    6.88252242886181e+01     -3.81002617602334e+02    
39533800.0000000         3434800.0000000          100.0000000              -4.22360009532750e-03    -2.69018302871639e+02    5.85392195924954e+01     -3.76985511266290e+02    
39533900.0000000         3434800.0000000          100.0000000              -4.19721817703953e-03    -2.58780156533750e+02    5.03224410917484e+01     -3.74963979695420e+02    
39534000.0000000         3434800.0000000          100.0000000              -4.17180836617354e-03    -2.49615169921090e+02    4.38373835310425e+01     -3.74524402923467e+02    
39534100.0000000         3434800.0000000          100.0000000              -4.14725105737159e-03    -2.41760275499318e+02    3.88507742165708e+01     -3.75262374483474e+02    
39534200.0000000         3434800.0000000          100.0000000              -4.12341309071738e-03    -2.35202421730265e+02    3.51414412623997e+01     -3.76725795137398e+02    
39534300.0000000         3434800.0000000          100.0000000              -4.10016811265951e-03    -2.29913555985244e+02    3.24810606697761e+01     -3.78692334414908e+02    
39534400.0000000         3434800.0000000          100.0000000              -4.07739185488115e-03    -2.25781194888470e+02    3.07021907216688e+01     -3.80818698743678e+02    
39534500.0000000         3434800.0000000          100.0000000              -4.05498090593098e-03    -2.22581218764487e+02    2.95795996999880e+01     -3.83005821748710e+02    
39534600.0000000         3434800.0000000          100.0000000              -4.03284646427160e-03    -2.20248693481419e+02    2.89373865999679e+01     -3.85203603938563e+02    
39534700.0000000         3434800.0000000          100.0000000              -4.01090675650663e-03    -2.18654077156045e+02    2.86444535794946e+01     -3.87283616010299e+02    
