x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39531000.0000000         3434800.0000000          100.0000000              5.80014312924025e-03     -6.93814606414327e+01    -2.31682205692079e+01    5.88831914617710e+02     
39531100.0000000         3434800.0000000          100.0000000              5.80714309161931e-03     -7.06619431551362e+01    -2.48049870163435e+01    5.89922609059970e+02     
39531200.0000000         3434800.0000000          100.0000000              5.81428368332072e-03     -7.21701121700950e+01    -2.69742739112025e+01    5.91422807718753e+02     
39531300.0000000         3434800.0000000          100.0000000              5.82157740695562e-03     -7.37000484084100e+01    -2.97394794577417e+01    5.93353234415551e+02     
39531400.0000000         3434800.0000000          100.0000000              5.82902462580036e-03     -7.52689264104855e+01    -3.32442637835924e+01    5.95551602210701e+02     
39531500.0000000         3434800.0000000          100.0000000              5.83663802213454e-03     -7.70308386475577e+01    -3.76221466352826e+01    5.98143307160260e+02     
39531600.0000000         3434800.0000000          100.0000000              5.84442983586401e-03     -7.87622798600936e+01    -4.29522359122413e+01    6.01423005077828e+02     
39531700.0000000         3434800.0000000          100.0000000              5.85237949749382e-03     -8.01681606697285e+01    -4.92644730770424e+01    6.05315803208478e+02     
39531800.0000000         3434800.0000000          100.0000000              5.86044826056037e-03     -8.11078530062492e+01    -5.65984485981446e+01    6.09864729999909e+02     
39531900.0000000         3434800.0000000          100.0000000              5.86857269379180e-03     -8.11909492712990e+01    -6.50021497612361e+01    6.15197523976817e+02     
39532000.0000000         3434800.0000000          100.0000000              5.87664414965437e-03     -8.00090267722207e+01    -7.43543822986693e+01    6.21163068694995e+02     
39532100.0000000         3434800.0000000          100.0000000              5.88451743584105e-03     -7.71463751881065e+01    -8.42189301944158e+01    6.27649416003540e+02     
39532200.0000000         3434800.0000000          100.0000000              5.89201133163350e-03     -7.24027998436253e+01    -9.41242482709118e+01    6.34294747758402e+02     
39532300.0000000         3434800.0000000          100.0000000              5.89892880153138e-03     -6.55907276596798e+01    -1.03518692591998e+02    6.40810392389059e+02     
39532400.0000000         3434800.0000000          100.0000000              5.90505845732189e-03     -5.66474515793936e+01    -1.11789626899009e+02    6.46784148603393e+02     
39532500.0000000         3434800.0000000          100.0000000              5.91018850977109e-03     -4.56502206897098e+01    -1.18546567732146e+02    6.51630806703745e+02     
39532600.0000000         3434800.0000000          100.0000000              5.91414457779204e-03     -3.33228704762393e+01    -1.23381314034654e+02    6.54763728139512e+02     
39532700.0000000         3434800.0000000          100.0000000              5.91683589400969e-03     -2.04690343088857e+01    -1.25907224643074e+02    6.56169055085678e+02     
39532800.0000000         3434800.0000000          100.0000000              5.91824386127679e-03     -7.77329318798887e+00    -1.26058362749624e+02    6.55908169083525e+02     
39532900.0000000         3434800.0000000          100.0000000              5.91841120180044e-03     4.28561812491353e+00     -1.24144426896458e+02    6.54171629993789e+02     
39533000.0000000         3434800.0000000          100.0000000              5.91742370657925e-03     1.52668691330197e+01     -1.20500921135684e+02    6.51199627944566e+02     
39533100.0000000         3434800.0000000          100.0000000              5.91539406853079e-03     2.51465599299635e+01     -1.15388547648351e+02    6.47288115942501e+02     
39533200.0000000         3434800.0000000          100.0000000              5.91244013450354e-03     3.36448188441587e+01     -1.09138473116724e+02    6.42300838980977e+02     
39533300.0000000         3434800.0000000          100.0000000              5.90872540413797e-03     4.03529794926528e+01     -1.02046525403237e+02    6.36719752424710e+02     
39533400.0000000         3434800.0000000          100.0000000              5.90442771909631e-03     4.53042078699801e+01     -9.44317115165671e+01    6.30898487547400e+02     
39533500.0000000         3434800.0000000          100.0000000              5.89972484388260e-03     4.84680157057001e+01     -8.66364051580666e+01    6.25130265197821e+02     
39533600.0000000         3434800.0000000          100.0000000              5.89478607670795e-03     5.00681715009909e+01     -7.90787365016616e+01    6.19777274686247e+02     
39533700.0000000         3434800.0000000          100.0000000              5.88975377451250e-03     5.04017608956409e+01     -7.20351655488833e+01    6.15081485698018e+02     
39533800.0000000         3434800.0000000          100.0000000              5.88473337065095e-03     4.98979060613494e+01     -6.56707669425518e+01    6.11191103562072e+02     
39533900.0000000         3434800.0000000          100.0000000              5.87979098133573e-03     4.88946913784521e+01     -6.00630196025320e+01    6.08111515062109e+02     
39534000.0000000         3434800.0000000          100.0000000              5.87496205402840e-03     4.76631132538542e+01     -5.51389842159348e+01    6.05811651606318e+02     
39534100.0000000         3434800.0000000          100.0000000              5.87025711857998e-03     4.64667459820562e+01     -5.08671495992456e+01    6.04258070669144e+02     
39534200.0000000         3434800.0000000          100.0000000              5.86566180808294e-03     4.54672541427556e+01     -4.72585054603294e+01    6.03235220268516e+02     
39534300.0000000         3434800.0000000          100.0000000              5.86115578943395e-03     4.47151652945073e+01     -4.42556999107795e+01    6.02694830860457e+02     
39534400.0000000         3434800.0000000          100.0000000              5.85670669097921e-03     4.43162963270431e+01     -4.18593079392474e+01    6.02439600827560e+02     
39534500.0000000         3434800.0000000          100.0000000              5.85228419703498e-03     4.41671208087986e+01     -3.99847361197229e+01    6.02370471673918e+02     
39534600.0000000         3434800.0000000          100.0000000              5.84786535389887e-03     4.42591252331983e+01     -3.85342541260428e+01    6.02506533415309e+02     
39534700.0000000         3434800.0000000          100.0000000              5.84342393355356e-03     4.46025583861252e+01     -3.74252129007978e+01    6.02752478808094e+02     
39534800.0000000         3434800.0000000          100.0000000              5.83893878920978e-03     4.51272183037245e+01     -3.65827917480502e+01    6.03098382832438e+02     
39534900.0000000         3434800.0000000          100.0000000              5.83439363584744e-03     4.58045740806461e+01     -3.59594311383841e+01    6.03588129009890e+02     
39535000.0000000         3434800.0000000          100.0000000              5.82977103751611e-03     4.66849397129906e+01     -3.55019468146173e+01    6.04239819189897e+02     
39531000.0000000         3434900.0000000          100.0000000              5.80232471521050e-03     -7.07092273372235e+01    -2.04724038331413e+01    5.86574580880493e+02     
39531100.0000000         3434900.0000000          100.0000000              5.80948177860445e-03     -7.24967349972494e+01    -2.19745122520053e+01    5.87659006832010e+02     
39531200.0000000         3434900.0000000          100.0000000              5.81683353392477e-03     -7.45656488730816e+01    -2.40160294653030e+01    5.89264962770352e+02     
39531300.0000000         3434900.0000000          100.0000000              5.82439955921762e-03     -7.67777348729511e+01    -2.66880879406500e+01    5.91338114441661e+02     
39531400.0000000         3434900.0000000          100.0000000              5.83219639503877e-03     -7.92116198713723e+01    -3.01608563528124e+01    5.93826091576414e+02     
39531500.0000000         3434900.0000000          100.0000000              5.84025265175859e-03     -8.19617162674280e+01    -3.46145326670586e+01    5.96949137228477e+02     
39531600.0000000         3434900.0000000          100.0000000              5.84859001780452e-03     -8.47503553697736e+01    -4.01682984030851e+01    6.00996090455925e+02     
39531700.0000000         3434900.0000000          100.0000000              5.85719471753724e-03     -8.72997786609492e+01    -4.69325699896433e+01    6.05878356924297e+02     
39531800.0000000         3434900.0000000          100.0000000              5.86603685495576e-03     -8.94492462474159e+01    -5.50343785858191e+01    6.11753402708728e+02     
39531900.0000000         3434900.0000000          100.0000000              5.87505616905091e-03     -9.07346375113119e+01    -6.45038724497509e+01    6.18842519620966e+02     
39532000.0000000         3434900.0000000          100.0000000              5.88413067258506e-03     -9.04164369081209e+01    -7.51873859824734e+01    6.27113837219592e+02     
39532100.0000000         3434900.0000000          100.0000000              5.89306302656100e-03     -8.78474580680317e+01    -8.64951265019675e+01    6.35990492723873e+02     
39532200.0000000         3434900.0000000          100.0000000              5.90162331928386e-03     -8.29363910347536e+01    -9.79433870207358e+01    6.45041937300855e+02     
39532300.0000000         3434900.0000000          100.0000000              5.90955960176321e-03     -7.53218403005958e+01    -1.08975194782733e+02    6.53916904436528e+02     
39532400.0000000         3434900.0000000          100.0000000              5.91659341355494e-03     -6.49071971082831e+01    -1.18837508453776e+02    6.61938217251176e+02     
39532500.0000000         3434900.0000000          100.0000000              5.92245710967405e-03     -5.19832267887593e+01    -1.26780927124002e+02    6.68435257673899e+02     
39532600.0000000         3434900.0000000          100.0000000              5.92692894954329e-03     -3.72416245458562e+01    -1.32249987705352e+02    6.72709964849623e+02     
39532700.0000000         3434900.0000000          100.0000000              5.92987882763118e-03     -2.17019382795824e+01    -1.34896228503891e+02    6.74474233449423e+02     
39532800.0000000         3434900.0000000          100.0000000              5.93128365197781e-03     -6.55002618148063e+00    -1.34682090888101e+02    6.73708756298875e+02     
39532900.0000000         3434900.0000000          100.0000000              5.93122651082219e-03     7.47675031641649e+00     -1.32095355313361e+02    6.71057741739579e+02     
