x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39531000.0000000         3434800.0000000          100.0000000              -3.46725259242911e-04    -1.25781140567341e+02    -2.27152042209244e+02    -5.19419281638875e+01    
39531100.0000000         3434800.0000000          100.0000000              -3.34363465990595e-04    -1.21468459097521e+02    -2.24375916442393e+02    -5.81350734168121e+01    
39531200.0000000         3434800.0000000          100.0000000              -3.22423683284439e-04    -1.17387122945226e+02    -2.20984795407014e+02    -6.54697883723711e+01    
39531300.0000000         3434800.0000000          100.0000000              -3.10873765870969e-04    -1.13677154421146e+02    -2.16894576181681e+02    -7.39216739779339e+01    
39531400.0000000         3434800.0000000          100.0000000              -2.99672495610190e-04    -1.10453433170740e+02    -2.12021299179426e+02    -8.36778904784395e+01    
39531500.0000000         3434800.0000000          100.0000000              -2.88752805678954e-04    -1.08144086360068e+02    -2.06350002956553e+02    -9.49688984070657e+01    
39531600.0000000         3434800.0000000          100.0000000              -2.77993004815527e-04    -1.07337012963529e+02    -1.99930955475146e+02    -1.07685373821567e+02    
39531700.0000000         3434800.0000000          100.0000000              -2.67221978414402e-04    -1.08439862620044e+02    -1.92855514636533e+02    -1.21604600139238e+02    
39531800.0000000         3434800.0000000          100.0000000              -2.56223786924426e-04    -1.11983549025145e+02    -1.85303852018780e+02    -1.36528422718339e+02    
39531900.0000000         3434800.0000000          100.0000000              -2.44723081183371e-04    -1.18582150883849e+02    -1.77667123638448e+02    -1.51992324576645e+02    
39532000.0000000         3434800.0000000          100.0000000              -2.32389951217159e-04    -1.28711464166522e+02    -1.70568444915510e+02    -1.67297206788430e+02    
39532100.0000000         3434800.0000000          100.0000000              -2.18853578430437e-04    -1.42629593250800e+02    -1.64733548336874e+02    -1.81383584828324e+02    
39532200.0000000         3434800.0000000          100.0000000              -2.03744139869039e-04    -1.60138262345671e+02    -1.60843223363923e+02    -1.93228020150480e+02    
39532300.0000000         3434800.0000000          100.0000000              -1.86719248303899e-04    -1.80823236252928e+02    -1.59590025283303e+02    -2.01700659133796e+02    
39532400.0000000         3434800.0000000          100.0000000              -1.67506326523595e-04    -2.03693864104433e+02    -1.61490208164340e+02    -2.05743204565519e+02    
39532500.0000000         3434800.0000000          100.0000000              -1.45955449613926e-04    -2.27304667723724e+02    -1.66858554012297e+02    -2.04681224550108e+02    
39532600.0000000         3434800.0000000          100.0000000              -1.22073397153524e-04    -2.50079517125766e+02    -1.75748800227555e+02    -1.98454104444579e+02    
39532700.0000000         3434800.0000000          100.0000000              -9.60139247810544e-05    -2.70627063827225e+02    -1.87800301315587e+02    -1.87278383174182e+02    
39532800.0000000         3434800.0000000          100.0000000              -6.80654804691043e-05    -2.87682433945843e+02    -2.02204213297589e+02    -1.71782174162974e+02    
39532900.0000000         3434800.0000000          100.0000000              -3.86204806823095e-05    -3.00452244751644e+02    -2.17979917303843e+02    -1.52952722802331e+02    
