x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39531000.0000000         3434800.0000000          100.0000000              3.28384770967140e-02     6.75361349446660e-02     -3.14851093377692e-02    6.75361349500589e-02     -2.80747117785149e-02    -9.06724887301882e-03    -3.14851093299679e-02    -9.06724887637437e-03    -4.76376531641256e-03    
39531100.0000000         3434800.0000000          100.0000000              3.17252598713109e-02     7.91828594218817e-02     -3.85599878830840e-02    7.91828594078643e-02     -2.57374613769951e-02    -1.65440221366793e-02    -3.85599879036940e-02    -1.65440221090761e-02    -5.98779849755769e-03    
39531200.0000000         3434800.0000000          100.0000000              2.71218943903805e-02     9.17253716494839e-02     -4.65110414909297e-02    9.17253716469057e-02     -2.18514530849726e-02    -2.62913640989855e-02    -4.65110414940882e-02    -2.62913640907125e-02    -5.27044131015357e-03    
39531300.0000000         3434800.0000000          100.0000000              2.06773211461980e-02     1.05833878471765e-01     -5.27092761517796e-02    1.05833878521504e-01     -1.60871531405869e-02    -3.83501554290863e-02    -5.27092761013859e-02    -3.83501554884324e-02    -4.59016799927055e-03    
39531400.0000000         3434800.0000000          100.0000000              1.36373140575299e-02     1.21128026683316e-01     -5.96218577890214e-02    1.21128026687278e-01     -7.48311387532265e-03    -5.40434172656312e-02    -5.96218577819244e-02    -5.40434172752312e-02    -6.15420017737867e-03    
39531500.0000000         3434800.0000000          100.0000000              2.07295410472710e-03     1.36465992331484e-01     -6.91608848138842e-02    1.36465992385047e-01     4.59069262810516e-03     -7.37704904324559e-02    -6.91608847607841e-02    -7.37704904955049e-02    -6.66364673054102e-03    
39531600.0000000         3434800.0000000          100.0000000              -1.64572441465167e-02    1.50817951946746e-01     -7.64237800564589e-02    1.50817951965587e-01     2.05854450254108e-02     -9.75217377363802e-02    -7.64237800351954e-02    -9.75217377642145e-02    -4.12820087474882e-03    
39531700.0000000         3434800.0000000          100.0000000              -3.90297524085690e-02    1.63235283341115e-01     -8.13487894792321e-02    1.63235283371597e-01     4.14398108245120e-02     -1.24851620121083e-01    -8.13487894493346e-02    -1.24851620155338e-01    -2.41005841852098e-03    
39531800.0000000         3434800.0000000          100.0000000              -6.77371681846858e-02    1.72695164112483e-01     -8.44602416843290e-02    1.72695164108647e-01     6.73880105599630e-02     -1.56074264273603e-01    -8.44602416860531e-02    -1.56074264270289e-01    3.49157628818227e-04     
39531900.0000000         3434800.0000000          100.0000000              -1.03091307553251e-01    1.76667338444055e-01     -8.16775145179193e-02    1.76667338470883e-01     9.77879977911956e-02     -1.91855516831739e-01    -8.16775144834328e-02    -1.91855516857392e-01    5.30330976847107e-03     
39532000.0000000         3434800.0000000          100.0000000              -1.41390324797007e-01    1.70885758089320e-01     -7.32237465852332e-02    1.70885756660171e-01     1.31537206146636e-01     -2.30243292678071e-01    -7.32237492256555e-02    -2.30243290338099e-01    9.85311865350262e-03     
39532100.0000000         3434800.0000000          100.0000000              -1.80501156849252e-01    1.54505373645015e-01     -5.54628769561109e-02    1.54505373654184e-01     1.65929776641274e-01     -2.66853139399824e-01    -5.54628769441561e-02    -2.66853139406909e-01    1.45713802065194e-02     
39532200.0000000         3434800.0000000          100.0000000              -2.16771522099089e-01    1.27302550588445e-01     -3.10044244462073e-02    1.27302550556472e-01     1.99097755291189e-01     -2.99323933091683e-01    -3.10044244887799e-02    -2.99323933057000e-01    1.76737668107046e-02     
39532300.0000000         3434800.0000000          100.0000000              -2.46815933617141e-01    8.84731620209624e-02     1.61744518848103e-03     8.84731620249037e-02     2.28885590312961e-01     -3.23236874633609e-01    1.61744518927251e-03     -3.23236874632863e-01    1.79303433062477e-02     
39532400.0000000         3434800.0000000          100.0000000              -2.66320650094202e-01    4.20365625409168e-02     4.06154240058360e-02     4.20365626553726e-02     2.51852199299422e-01     -3.35484178320296e-01    4.06154241415448e-02     -3.35484178340829e-01    1.44684507885060e-02     
39532500.0000000         3434800.0000000          100.0000000              -2.68798008881815e-01    -9.11448325005864e-03    8.52151960750995e-02     -9.11448324414670e-03    2.66058646936310e-01     -3.37378883181725e-01    8.52151960861076e-02     -3.37378883182445e-01    2.73936193921135e-03     
39532600.0000000         3434800.0000000          100.0000000              -2.52541425296146e-01    -6.26352278105688e-02    1.24976699663550e-01     -6.26352278583508e-02    2.69404256621001e-01     -3.26484478110094e-01    1.24976699616853e-01     -3.26484478087711e-01    -1.68628313206970e-02    
39532700.0000000         3434800.0000000          100.0000000              -2.22191483426738e-01    -1.12553416713628e-01    1.57413893029901e-01     -1.12553416695619e-01    2.60966537615185e-01     -3.01711240793577e-01    1.57413893052163e-01     -3.01711240799462e-01    -3.87750541967547e-02    
39532800.0000000         3434800.0000000          100.0000000              -1.81292787647946e-01    -1.53190271248143e-01    1.80044487555074e-01     -1.53190271230727e-01    2.43259159705738e-01     -2.65864664199126e-01    1.80044487575782e-01     -2.65864664198086e-01    -6.19663720498307e-02    
39532900.0000000         3434800.0000000          100.0000000              -1.34270939683884e-01    -1.82810334612638e-01    1.94112854002287e-01     -1.82810334617881e-01    2.19776976307011e-01     -2.24781517915156e-01    1.94112853990648e-01     -2.24781517910868e-01    -8.55060366275647e-02    
39533000.0000000         3434800.0000000          100.0000000              -8.58732930706985e-02    -2.02513162973366e-01    1.96483598354566e-01     -2.02513162974482e-01    1.91333723508958e-01     -1.80582962127695e-01    1.96483598351070e-01     -1.80582962124972e-01    -1.05460430440537e-01    
39533100.0000000         3434800.0000000          100.0000000              -3.88996458336789e-02    -2.11347345350820e-01    1.93960506976150e-01     -2.11347345328407e-01    1.61036196598422e-01     -1.35388804142645e-01    1.93960507006961e-01     -1.35388804132539e-01    -1.22136550763848e-01    
39533200.0000000         3434800.0000000          100.0000000              8.65160952331400e-03     -2.10276777305327e-01    1.81329597929697e-01     -2.10276777296938e-01    1.30735600150335e-01     -9.25610733448822e-02    1.81329597937635e-01     -9.25610733406529e-02    -1.39387209683065e-01    
39533300.0000000         3434800.0000000          100.0000000              4.79524965308833e-02     -2.00410562203993e-01    1.60052821320454e-01     -2.00410562225157e-01    1.00561910873581e-01     -5.35113985705621e-02    1.60052821300301e-01     -5.35113985891532e-02    -1.48514407401610e-01    
39533400.0000000         3434800.0000000          100.0000000              7.91007951960112e-02     -1.83960754538506e-01    1.34906856354668e-01     -1.83960754541772e-01    7.30286150043371e-02     -1.92913727339784e-02    1.34906856349591e-01     -1.92913727378316e-02    -1.52129410199343e-01    
39533500.0000000         3434800.0000000          100.0000000              9.99192611489383e-02     -1.62209728970669e-01    1.06190387612973e-01     -1.62209729016199e-01    4.99884511592221e-02     8.82656506520556e-03     1.06190387552314e-01     8.82656501726757e-03     -1.49907712315988e-01    
39533600.0000000         3434800.0000000          100.0000000              1.10750305473182e-01     -1.37903234761519e-01    7.78577865657261e-02     -1.37903234739745e-01    3.14402209470470e-02     2.89223049336733e-02     7.78577865965066e-02     2.89223049608274e-02     -1.42190526419059e-01    
39533700.0000000         3434800.0000000          100.0000000              1.12093770897730e-01     -1.14200051565687e-01    5.14950363599105e-02     -1.14200051588633e-01    1.79069698884537e-02     4.27445512039174e-02     5.14950363322767e-02     4.27445511871751e-02     -1.30000740785870e-01    
39533800.0000000         3434800.0000000          100.0000000              1.06913587417730e-01     -9.19624395577714e-02    2.95000294541522e-02     -9.19624395540137e-02    8.12126330022346e-03     5.06717085236515e-02     2.95000294576084e-02     5.06717085257607e-02     -1.15034850720168e-01    
39533900.0000000         3434800.0000000          100.0000000              9.73929350620970e-02     -7.29852407997194e-02    1.17293662857443e-02     -7.29852407464162e-02    1.40592991482734e-03     5.42823226694228e-02     1.17293663353539e-02     5.42823227089596e-02     -9.87988649747648e-02    
