x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39531000.0000000         3434800.0000000          100.0000000              -1.15433331226595e-02    -1.39830095194113e-02    9.52882058359546e-03     -1.39830095194113e-02    2.73225963775385e-02     -2.33357428016890e-02    9.52882058359546e-03     -2.33357428016890e-02    -1.57792632549568e-02    
39531100.0000000         3434800.0000000          100.0000000              -1.41769978291673e-02    -1.89440080563830e-02    1.25556821789942e-02     -1.89440080563830e-02    2.85832031595636e-02     -2.32781030022471e-02    1.25556821789942e-02     -2.32781030022471e-02    -1.44062053306585e-02    
39531200.0000000         3434800.0000000          100.0000000              -1.54158617129525e-02    -2.44712785059287e-02    1.74535704624990e-02     -2.44712785059287e-02    2.94759309018994e-02     -2.20526057910384e-02    1.74535704624990e-02     -2.20526057910384e-02    -1.40600691888072e-02    
39531300.0000000         3434800.0000000          100.0000000              -1.51846074886966e-02    -3.10855521116663e-02    2.08393450824504e-02     -3.10855521116663e-02    3.01410975600540e-02     -2.03966563013373e-02    2.08393450824504e-02     -2.03966563013373e-02    -1.49564900711897e-02    
39531400.0000000         3434800.0000000          100.0000000              -1.65816232405267e-02    -3.92533963010734e-02    2.34244405412726e-02     -3.92533963010734e-02    2.99839539923253e-02     -1.72605131748236e-02    2.34244405412726e-02     -1.72605131748236e-02    -1.34023307512144e-02    
39531500.0000000         3434800.0000000          100.0000000              -1.83243644093179e-02    -4.84392797020811e-02    2.91787071376881e-02     -4.84392797020811e-02    2.84588239307469e-02     -1.19483767128638e-02    2.91787071376881e-02     -1.19483767128638e-02    -1.01344595212950e-02    
39531600.0000000         3434800.0000000          100.0000000              -1.58732211255675e-02    -5.81918932770429e-02    3.60126780747066e-02     -5.81918932770429e-02    2.53931992946681e-02     -4.37496872568797e-03    3.60126780747066e-02     -4.37496872568797e-03    -9.51997816818790e-03    
39531700.0000000         3434800.0000000          100.0000000              -1.20910990611008e-02    -6.81277971429046e-02    4.19277929145990e-02     -6.81277971429046e-02    2.00499264672089e-02     5.04805485348930e-03     4.19277929145990e-02     5.04805485348930e-03     -7.95882740554408e-03    
39531800.0000000         3434800.0000000          100.0000000              -6.06657227097942e-03    -7.86574867540399e-02    4.93945867364669e-02     -7.86574867540399e-02    1.17122246432570e-02     1.64411544657439e-02     4.93945867364669e-02     1.64411544657439e-02     -5.64565237217060e-03    
39531900.0000000         3434800.0000000          100.0000000              5.20102188285392e-03     -8.92888541205530e-02    5.67139133741242e-02     -8.92888541205530e-02    6.25186510299529e-04     3.15086899813896e-02     5.67139133741242e-02     3.15086899813896e-02     -5.82620839338954e-03    
39532000.0000000         3434800.0000000          100.0000000              1.92910004279074e-02     -9.68718522805335e-02    6.30321305785788e-02     -9.68718522805335e-02    -1.31572506269402e-02    5.13308387186525e-02     6.30321305785788e-02     5.13308387186525e-02     -6.13374980241453e-03    
39532100.0000000         3434800.0000000          100.0000000              3.78257470508362e-02     -9.96028712049738e-02    6.58895044493083e-02     -9.96028712049738e-02    -2.78694725342480e-02    7.29919434641177e-02     6.58895044493083e-02     7.29919434641177e-02     -9.95627451781804e-03    
39532200.0000000         3434800.0000000          100.0000000              5.75141630673545e-02     -9.76658994552758e-02    6.65033698875835e-02     -9.76658994552758e-02    -4.29238669221766e-02    9.51685087494705e-02     6.65033698875835e-02     9.51685087494705e-02     -1.45902961466579e-02    
39532300.0000000         3434800.0000000          100.0000000              7.88225756244795e-02     -8.91240246643594e-02    6.30819596716089e-02     -8.91240246643594e-02    -5.79056191657504e-02    1.16083791442973e-01     6.30819596716089e-02     1.16083791442973e-01     -2.09169564586990e-02    
39532400.0000000         3434800.0000000          100.0000000              1.00154833730775e-01     -7.56976099883573e-02    5.55975715167759e-02     -7.56976099883573e-02    -7.16050084613488e-02    1.32427228712999e-01     5.55975715167759e-02     1.32427228712999e-01     -2.85498252689604e-02    
39532500.0000000         3434800.0000000          100.0000000              1.18187779785945e-01     -5.88135702884063e-02    4.01080018171775e-02     -5.88135702884063e-02    -8.25083348896822e-02    1.46641452793387e-01     4.01080018171775e-02     1.46641452793387e-01     -3.56794448969063e-02    
39532600.0000000         3434800.0000000          100.0000000              1.27068740969330e-01     -3.71950230289057e-02    2.25487930067568e-02     -3.71950230289057e-02    -8.95992376107942e-02    1.57692177857480e-01     2.25487930067568e-02     1.57692177857480e-01     -3.74695033580721e-02    
39532700.0000000         3434800.0000000          100.0000000              1.29045085822638e-01     -1.31107424283318e-02    5.46799711290263e-03     -1.31107424283318e-02    -9.07911366248018e-02    1.61943260566005e-01     5.46799711290263e-03     1.61943260566005e-01     -3.82539491971527e-02    
39532800.0000000         3434800.0000000          100.0000000              1.24286099249860e-01     9.46214272066832e-03     -9.99059965845431e-03    9.46214272066832e-03     -8.71426482817432e-02    1.58493818749091e-01     -9.99059965845431e-03    1.58493818749091e-01     -3.71434509679842e-02    
39532900.0000000         3434800.0000000          100.0000000              1.15784936393664e-01     2.81235247237085e-02     -2.44853028691756e-02    2.81235247237085e-02     -8.10841859693549e-02    1.51087051399402e-01     -2.44853028691756e-02    1.51087051399402e-01     -3.47007504235884e-02    
39533000.0000000         3434800.0000000          100.0000000              1.04074412779570e-01     4.43123375872291e-02     -3.42467871054119e-02    4.43123375872291e-02     -7.27216595688913e-02    1.41204655207939e-01     -3.42467871054119e-02    1.41204655207939e-01     -3.13527532105185e-02    
39533100.0000000         3434800.0000000          100.0000000              9.31019052811285e-02     5.73678161038114e-02     -4.46804876939933e-02    5.73678161038114e-02     -6.29934967116264e-02    1.28340503375539e-01     -4.46804876939933e-02    1.28340503375539e-01     -3.01084085694100e-02    
39533200.0000000         3434800.0000000          100.0000000              7.60935749731682e-02     6.72767054546122e-02     -5.38221382784447e-02    6.72767054546122e-02     -5.30104681498935e-02    1.14475506475662e-01     -5.38221382784447e-02    1.14475506475662e-01     -2.30831068221601e-02    
39533300.0000000         3434800.0000000          100.0000000              5.82925410415563e-02     7.39942472748726e-02     -5.72639151844655e-02    7.39942472748726e-02     -4.09029027879120e-02    9.92640722392991e-02     -5.72639151844655e-02    9.92640722392991e-02     -1.73896382523094e-02    
39533400.0000000         3434800.0000000          100.0000000              4.04856628290661e-02     7.76911565974493e-02     -5.87478561102966e-02    7.76911565974493e-02     -2.77169410571447e-02    8.29400600994502e-02     -5.87478561102966e-02    8.29400600994502e-02     -1.27687217727791e-02    
39533500.0000000         3434800.0000000          100.0000000              2.33749119361482e-02     7.74752513685851e-02     -5.59887404824611e-02    7.74752513685851e-02     -1.54145168263065e-02    6.58663249288965e-02     -5.59887404824611e-02    6.58663249288965e-02     -7.96039510899299e-03    
39533600.0000000         3434800.0000000          100.0000000              9.02944853048580e-03     7.32344554123850e-02     -5.06984892624408e-02    7.32344554123850e-02     -4.14628068114605e-03    5.05144889809198e-02     -5.06984892624408e-02    5.05144889809198e-02     -4.88316784943568e-03    
39533700.0000000         3434800.0000000          100.0000000              -1.55309388058671e-03    6.73284861327124e-02     -4.29481216849354e-02    6.73284861327124e-02     4.68761692921485e-03     3.72064942569305e-02     -4.29481216849354e-02    3.72064942569305e-02     -3.13452304853001e-03    
39533800.0000000         3434800.0000000          100.0000000              -8.09702505492503e-03    5.98362493724723e-02     -3.48939080302245e-02    5.98362493724723e-02     1.14279613313815e-02     2.62451904163397e-02     -3.48939080302245e-02    2.62451904163397e-02     -3.33093627623527e-03    
39533900.0000000         3434800.0000000          100.0000000              -1.14945328415438e-02    5.24760674035193e-02     -2.68752142936313e-02    5.24760674035193e-02     1.61363171396579e-02     1.79247189028227e-02     -2.68752142936313e-02    1.79247189028227e-02     -4.64178429796458e-03    
39534000.0000000         3434800.0000000          100.0000000              -1.26927728601631e-02    4.60514555300526e-02     -1.90593994111487e-02    4.60514555300526e-02     1.94204843516229e-02     1.04373085121878e-02     -1.90593994111487e-02    1.04373085121878e-02     -6.72771149179387e-03    
39534100.0000000         3434800.0000000          100.0000000              -1.09164806435835e-02    3.93227703662459e-02     -1.25345119751825e-02    3.93227703662459e-02     2.18282742839215e-02     3.67252656112567e-03     -1.25345119751825e-02    3.67252656112567e-03     -1.09117936405680e-02    
39534200.0000000         3434800.0000000          100.0000000              -9.16292613801704e-03    3.30159833672605e-02     -7.80469358137055e-03    3.30159833672605e-02     2.35195614585000e-02     -1.32558964392916e-03    -7.80469358137055e-03    -1.32558964392916e-03    -1.43566353209980e-02    
39534300.0000000         3434800.0000000          100.0000000              -5.58855797337411e-03    2.69590344043496e-02     -3.58503265015960e-03    2.69590344043496e-02     2.46307860734673e-02     -5.50475529016507e-03    -3.58503265015960e-03    -5.50475529016507e-03    -1.90422280997644e-02    
39534400.0000000         3434800.0000000          100.0000000              -2.58188699339206e-03    2.11898809778061e-02     -1.59214694063822e-03    2.11898809778061e-02     2.51760942023788e-02     -7.75079045762689e-03    -1.59214694063822e-03    -7.75079045762689e-03    -2.25942072088754e-02    
39534500.0000000         3434800.0000000          100.0000000              -4.98744631153035e-04    1.64530542908785e-02     3.55053147204335e-04     1.64530542908785e-02     2.56195174183371e-02     -8.79616834410741e-03    3.55053147204335e-04     -8.79616834410741e-03    -2.51207727871212e-02    
39534600.0000000         3434800.0000000          100.0000000              2.36757984043337e-03     1.26873087234559e-02     2.03409836776495e-03     1.26873087234559e-02     2.55667262578550e-02     -9.08543732425126e-03    2.03409836776495e-03     -9.08543732425126e-03    -2.79343060980584e-02    
39534700.0000000         3434800.0000000          100.0000000              4.39590915989160e-03     9.62273351707152e-03     2.93395101912005e-03     9.62273351707152e-03     2.51464489779937e-02     -8.92429355404907e-03    2.93395101912005e-03     -8.92429355404907e-03    -2.95423581380509e-02    
39534800.0000000         3434800.0000000          100.0000000              5.99658246382722e-03     7.29538759194489e-03     4.03336758610522e-03     7.29538759194489e-03     2.44544886489031e-02     -8.62196409154919e-03    4.03336758610522e-03     -8.62196409154919e-03    -3.04510711125534e-02    
39534900.0000000         3434800.0000000          100.0000000              7.70995180238136e-03     5.25944452762720e-03     5.77620850094677e-03     5.25944452762720e-03     2.38574147011604e-02     -7.96340181149958e-03    5.77620850094677e-03     -7.96340181149958e-03    -3.15673665036009e-02    
39535000.0000000         3434800.0000000          100.0000000              9.97498099406343e-03     4.05439496944597e-03     7.18495478459090e-03     4.05439496944597e-03     2.33404848337810e-02     -6.89419213641947e-03    7.18495478459090e-03     -6.89419213641947e-03    -3.33154658281443e-02    
39531000.0000000         3434900.0000000          100.0000000              -1.59296508842632e-02    -1.25802491478221e-02    8.89624444446221e-03     -1.25802491478221e-02    2.67898403220186e-02     -2.16712173517462e-02    8.89624444446221e-03     -2.16712173517462e-02    -1.08601894383036e-02    
39531100.0000000         3434900.0000000          100.0000000              -1.97137727691843e-02    -1.76554055911164e-02    1.33013147647895e-02     -1.76554055911164e-02    2.82420747001903e-02     -2.17868285037046e-02    1.33013147647895e-02     -2.17868285037046e-02    -8.52830193098070e-03    
39531200.0000000         3434900.0000000          100.0000000              -2.14416118760402e-02    -2.33294102631204e-02    1.85561781213796e-02     -2.33294102631204e-02    2.98777877938343e-02     -2.10030867095556e-02    1.85561781213796e-02     -2.10030867095556e-02    -8.43617591780184e-03    
39531300.0000000         3434900.0000000          100.0000000              -2.28799557286591e-02    -3.03792778969691e-02    2.27106505386046e-02     -3.03792778969691e-02    3.10949305999437e-02     -1.97101373786615e-02    2.27106505386046e-02     -1.97101373786615e-02    -8.21497487106221e-03    
39531400.0000000         3434900.0000000          100.0000000              -2.59521156952613e-02    -3.93909987676641e-02    2.75292798452027e-02     -3.93909987676641e-02    3.18112991455185e-02     -1.70645011424189e-02    2.75292798452027e-02     -1.70645011424189e-02    -5.85918344989552e-03    
39531500.0000000         3434900.0000000          100.0000000              -2.86561289448779e-02    -4.98845918621157e-02    3.57361263222108e-02     -4.98845918621157e-02    3.18111853254241e-02     -1.19098678256550e-02    3.57361263222108e-02     -1.19098678256550e-02    -3.15505638009169e-03    
39531600.0000000         3434900.0000000          100.0000000              -2.67339695586651e-02    -6.13355320453186e-02    4.46560837958635e-02     -6.13355320453186e-02    3.03744377364227e-02     -4.27184755891402e-03    4.46560837958635e-02     -4.27184755891402e-03    -3.64046817939379e-03    
39531700.0000000         3434900.0000000          100.0000000              -2.40117892888838e-02    -7.41997675458267e-02    5.34145931380820e-02     -7.41997675458267e-02    2.64555432914894e-02     6.06277829686070e-03     5.34145931380820e-02     6.06277829686070e-03     -2.44375400234946e-03    
39531800.0000000         3434900.0000000          100.0000000              -1.83172911126802e-02    -8.78963653926105e-02    6.45341188198909e-02     -8.78963653926105e-02    1.99834675619419e-02     2.09393827616139e-02     6.45341188198909e-02     2.09393827616139e-02     -1.66617645004843e-03    
39531900.0000000         3434900.0000000          100.0000000              -6.21563858216759e-03    -1.01315805898035e-01    7.71409352935077e-02     -1.01315805898035e-01    1.04174099206644e-02     4.11355181252180e-02     7.71409352935077e-02     4.11355181252180e-02     -4.20177133861939e-03    
39532000.0000000         3434900.0000000          100.0000000              1.40237927571826e-02     -1.11136176599704e-01    8.71664452979299e-02     -1.11136176599704e-01    -1.63776485960440e-03    6.75341566994932e-02     8.71664452979299e-02     6.75341566994932e-02     -1.23860278982756e-02    
39532100.0000000         3434900.0000000          100.0000000              3.70115707816345e-02     -1.14380347428778e-01    8.96880517396701e-02     -1.14380347428778e-01    -1.59795614566904e-02    9.34096694452467e-02     8.96880517396701e-02     9.34096694452467e-02     -2.10320093259628e-02    
39532200.0000000         3434900.0000000          100.0000000              6.22489005651177e-02     -1.13522369766384e-01    9.06539702760699e-02     -1.13522369766384e-01    -3.28915158019196e-02    1.19465160495185e-01     9.06539702760699e-02     1.19465160495185e-01     -2.93573847646118e-02    
39532300.0000000         3434900.0000000          100.0000000              9.03661315556279e-02     -1.05971896595073e-01    8.58499100396477e-02     -1.05971896595073e-01    -5.06310112561650e-02    1.46721863057179e-01     8.58499100396477e-02     1.46721863057179e-01     -3.97351202985233e-02    
39532400.0000000         3434900.0000000          100.0000000              1.17255721667256e-01     -8.99958436797963e-02    7.36849521199277e-02     -8.99958436797963e-02    -6.71978518189080e-02    1.72176070122789e-01     7.36849521199277e-02     1.72176070122789e-01     -5.00578698476404e-02    
39532500.0000000         3434900.0000000          100.0000000              1.40084089370488e-01     -6.78835613968399e-02    5.47880713209542e-02     -6.78835613968399e-02    -7.95491582786110e-02    1.91223950008563e-01     5.47880713209542e-02     1.91223950008563e-01     -6.05349310906154e-02    
39532600.0000000         3434900.0000000          100.0000000              1.52892647204071e-01     -4.10831835621746e-02    3.05260730530297e-02     -4.10831835621746e-02    -8.65359656786408e-02    2.01885200641515e-01     3.05260730530297e-02     2.01885200641515e-01     -6.63566815242626e-02    
39532700.0000000         3434900.0000000          100.0000000              1.55752523968644e-01     -1.16222506899255e-02    3.99516997954296e-03     -1.16222506899255e-02    -8.73338340690014e-02    2.05030072360160e-01     3.99516997954296e-03     2.05030072360160e-01     -6.84186898987988e-02    
39532800.0000000         3434900.0000000          100.0000000              1.46570958341566e-01     1.50313174651643e-02     -1.79786971769288e-02    1.50313174651643e-02     -8.39533086541122e-02    1.98195250676456e-01     -1.79786971769288e-02    1.98195250676456e-01     -6.26176496873294e-02    
39532900.0000000         3434900.0000000          100.0000000              1.33764097927201e-01     3.57466073804611e-02     -3.41580141706888e-02    3.57466073804611e-02     -7.72879025641961e-02    1.87196509398429e-01     -3.41580141706888e-02    1.87196509398429e-01     -5.64761953611526e-02    
39533000.0000000         3434900.0000000          100.0000000              1.19758721622474e-01     5.36751764566867e-02     -4.72672269751071e-02    5.36751764566867e-02     -6.86025940436560e-02    1.75554185569040e-01     -4.72672269751071e-02    1.75554185569040e-01     -5.11561275801673e-02    
39533100.0000000         3434900.0000000          100.0000000              1.04586308193664e-01     6.84671975099249e-02     -5.92973116245260e-02    6.84671975099249e-02     -5.75069133063701e-02    1.59259116884617e-01     -5.92973116245260e-02    1.59259116884617e-01     -4.70793948892890e-02    
39533200.0000000         3434900.0000000          100.0000000              8.56070322491096e-02     7.94398833099409e-02     -6.98988873309534e-02    7.94398833099409e-02     -4.44791122917680e-02    1.42035355417883e-01     -6.98988873309534e-02    1.42035355417883e-01     -4.11279199562128e-02    
39533300.0000000         3434900.0000000          100.0000000              6.39559828974441e-02     8.74457095306057e-02     -7.54492509970619e-02    8.74457095306057e-02     -3.05986111094583e-02    1.22554550720516e-01     -7.54492509970619e-02    1.22554550720516e-01     -3.33573717863869e-02    
39533400.0000000         3434900.0000000          100.0000000              4.17982264457399e-02     9.07146481175844e-02     -7.80655297831327e-02    9.07146481175844e-02     -1.70072976974500e-02    1.01261967730266e-01     -7.80655297831327e-02    1.01261967730266e-01     -2.47909287479457e-02    
39533500.0000000         3434900.0000000          100.0000000              2.03667287504686e-02     8.93137042069128e-02     -7.51373871822565e-02    8.93137042069128e-02     -4.57181285831954e-03    7.94479006585508e-02     -7.51373871822565e-02    7.94479006585508e-02     -1.57949158920439e-02    
39533600.0000000         3434900.0000000          100.0000000              2.35602296800038e-03     8.31936759895770e-02     -6.69132756619080e-02    8.31936759895770e-02     5.68239220432940e-03     5.92360760510029e-02     -6.69132756619080e-02    5.92360760510029e-02     -8.03841517052561e-03    
39533700.0000000         3434900.0000000          100.0000000              -9.48635914819160e-03    7.45942583830675e-02     -5.65964315833366e-02    7.45942583830675e-02     1.38534072239740e-02     4.27911114188675e-02     -5.65964315833366e-02    4.27911114188675e-02     -4.36704807479746e-03    
39533800.0000000         3434900.0000000          100.0000000              -1.68060785140594e-02    6.51209776603716e-02     -4.54249371659813e-02    6.51209776603716e-02     1.94077523668792e-02     2.96662417251507e-02     -4.54249371659813e-02    2.96662417251507e-02     -2.60167385230046e-03    
39533900.0000000         3434900.0000000          100.0000000              -1.90306826401328e-02    5.61559824651875e-02     -3.48934486201950e-02    5.61559824651875e-02     2.34393436460232e-02     1.97680461209904e-02     -3.48934486201950e-02    1.97680461209904e-02     -4.40866100656417e-03    
39534000.0000000         3434900.0000000          100.0000000              -1.96834048133282e-02    4.81802172341322e-02     -2.64658128126160e-02    4.81802172341322e-02     2.59563566380122e-02     1.15649866782115e-02     -2.64658128126160e-02    1.15649866782115e-02     -6.27295182409195e-03    
39534100.0000000         3434900.0000000          100.0000000              -1.79630559738576e-02    4.07498630807835e-02     -1.86346573570390e-02    4.07498630807835e-02     2.69464432598842e-02     4.60082509215300e-03     -1.86346573570390e-02    4.60082509215300e-03     -8.98338728591584e-03    
39534200.0000000         3434900.0000000          100.0000000              -1.53856492165767e-02    3.37251997891769e-02     -1.25168472015414e-02    3.37251997891769e-02     2.73121264165859e-02     -9.54667746963049e-04    -1.25168472015414e-02    -9.54667746963049e-04    -1.19264772003109e-02    
39534300.0000000         3434900.0000000          100.0000000              -1.20203282863646e-02    2.72930176682297e-02     -7.06961683022354e-03    2.72930176682297e-02     2.71195859060272e-02     -5.23432583347824e-03    -7.06961683022354e-03    -5.23432583347824e-03    -1.50992576197712e-02    
39534400.0000000         3434900.0000000          100.0000000              -7.81671203365787e-03    2.12048942080454e-02     -3.22986006108991e-03    2.12048942080454e-02     2.69568299563393e-02     -7.87100022390647e-03    -3.22986006108991e-03    -7.87100022390647e-03    -1.91401179220880e-02    
39534500.0000000         3434900.0000000          100.0000000              -4.87361659281544e-03    1.62962726778204e-02     -4.63154256672239e-04    1.62962726778204e-02     2.61890040005297e-02     -8.98404788119698e-03    -4.63154256672239e-04    -8.98404788119698e-03    -2.13153874077151e-02    
39534600.0000000         3434900.0000000          100.0000000              -1.19835983588102e-03    1.23640890257245e-02     1.99940213575780e-03     1.23640890257245e-02     2.56550223365460e-02     -9.45687537461757e-03    1.99940213575780e-03     -9.45687537461757e-03    -2.44566625012079e-02    
39534700.0000000         3434900.0000000          100.0000000              1.56955714547359e-03     9.01906159779239e-03     3.63601938991121e-03     9.01906159779239e-03     2.51924482153487e-02     -9.03466412147309e-03    3.63601938991121e-03     -9.03466412147309e-03    -2.67620053609203e-02    
39534800.0000000         3434900.0000000          100.0000000              3.86548500820728e-03     6.47493282617648e-03     4.88187147426868e-03     6.47493282617648e-03     2.46684315396788e-02     -7.86074788037209e-03    4.88187147426868e-03     -7.86074788037209e-03    -2.85339165477988e-02    
39534900.0000000         3434900.0000000          100.0000000              6.15424878547654e-03     4.78043330920770e-03     6.96570709319981e-03     4.78043330920770e-03     2.40406349110870e-02     -6.47253683312908e-03    6.96570709319981e-03     -6.47253683312908e-03    -3.01948836965992e-02    
39535000.0000000         3434900.0000000          100.0000000              9.17653397480868e-03     3.78527448601707e-03     8.25375724218421e-03     3.78527448601707e-03     2.38965565585796e-02     -5.24533937103673e-03    8.25375724218421e-03     -5.24533937103673e-03    -3.30730905333004e-02    
39531000.0000000         3435000.0000000          100.0000000              -2.01972519696947e-02    -1.11114066651110e-02    8.41005318123222e-03     -1.11114066651110e-02    2.73559830824020e-02     -1.98440412964022e-02    8.41005318123222e-03     -1.98440412964022e-02    -7.15873111367609e-03    
39531100.0000000         3435000.0000000          100.0000000              -2.48773639873999e-02    -1.57201527670379e-02    1.36997103518952e-02     -1.57201527670379e-02    2.93408379913375e-02     -1.97691087667985e-02    1.36997103518952e-02     -1.97691087667985e-02    -4.46347400407792e-03    
39531200.0000000         3435000.0000000          100.0000000              -2.79282433140443e-02    -2.14892541214787e-02    1.92542591354786e-02     -2.14892541214787e-02    3.16265745928848e-02     -1.96494004744269e-02    1.92542591354786e-02     -1.96494004744269e-02    -3.69833127836189e-03    
39531300.0000000         3435000.0000000          100.0000000              -3.11575436600591e-02    -2.90169673273876e-02    2.43348828266931e-02     -2.90169673273876e-02    3.36710854060194e-02     -1.87396047898418e-02    2.43348828266931e-02     -1.87396047898418e-02    -2.51354174625395e-03    
39531400.0000000         3435000.0000000          100.0000000              -3.60498613288586e-02    -3.85288518616721e-02    3.11558909129278e-02     -3.85288518616721e-02    3.52334948481158e-02     -1.62229390082752e-02    3.11558909129278e-02     -1.62229390082752e-02    8.16366480468956e-04     
39531500.0000000         3435000.0000000          100.0000000              -4.03431400528079e-02    -4.97997606829814e-02    4.17685678334551e-02     -4.97997606829814e-02    3.61239316321633e-02     -1.16903627337201e-02    4.17685678334551e-02     -1.16903627337201e-02    4.21920842056529e-03     
39531600.0000000         3435000.0000000          100.0000000              -4.00964661826702e-02    -6.32885994999528e-02    5.39079969155484e-02     -6.32885994999528e-02    3.59182987933029e-02     -4.05322009607149e-03    5.39079969155484e-02     -4.05322009607149e-03    4.17816738971038e-03     
