x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39531000.0000000         3434800.0000000          100.0000000              4.33487221629916e-02     2.48578090110127e-02     -5.65342925372001e-02    2.48578090158101e-02     -3.08139719700142e-02    -7.54239846458467e-03    -5.65342925297238e-02    -7.54239847012441e-03    -1.25347501906981e-02    
39531100.0000000         3434800.0000000          100.0000000              4.24762607098851e-02     3.07644528743936e-02     -6.76428478482881e-02    3.07644528645018e-02     -3.43040657254695e-02    -1.41084691276058e-02    -6.76428478626635e-02    -1.41084691082885e-02    -8.17219498278377e-03    
39531200.0000000         3434800.0000000          100.0000000              3.89949734001504e-02     3.72247424744401e-02     -7.88058579948772e-02    3.72247424726896e-02     -3.81078378744807e-02    -2.22938796563868e-02    -7.88058579967889e-02    -2.22938796507880e-02    -8.87135527319071e-04    
39531300.0000000         3434800.0000000          100.0000000              3.50304584376892e-02     4.47160239646765e-02     -9.05406385823901e-02    4.47160239993525e-02     -4.17843385140085e-02    -3.26244488829004e-02    -9.05406385473572e-02    -3.26244489240792e-02    6.75388007636269e-03     
39531400.0000000         3434800.0000000          100.0000000              2.86427097737191e-02     5.27589812834622e-02     -1.05067577605801e-01    5.27589812862415e-02     -4.52008727049010e-02    -4.60322462818560e-02    -1.05067577600783e-01    -4.60322462884129e-02    1.65581629262253e-02     
39531500.0000000         3434800.0000000          100.0000000              1.63886574997386e-02     6.05861841514788e-02     -1.20583446437069e-01    6.05861841889822e-02     -4.83562019881105e-02    -6.27720414232417e-02    -1.20583446399719e-01    -6.27720414674238e-02    3.19675444814956e-02     
39531600.0000000         3434800.0000000          100.0000000              -7.62935330602003e-04    6.76429025321420e-02     -1.33423306701234e-01    6.76429025450433e-02     -5.09136985362685e-02    -8.28892129636015e-02    -1.33423306686868e-01    -8.28892129826587e-02    5.16766338680901e-02     
39531700.0000000         3434800.0000000          100.0000000              -2.21919703348714e-02    7.35950550154011e-02     -1.44694722432929e-01    7.35950550360186e-02     -5.23901002211395e-02    -1.06840334267674e-01    -1.44694722412723e-01    -1.06840334290970e-01    7.45820705581977e-02     
39531800.0000000         3434800.0000000          100.0000000              -4.97747983349340e-02    7.67913656584805e-02     -1.53030176566101e-01    7.67913656547701e-02     -5.27954696414479e-02    -1.35393445448804e-01    -1.53030176568849e-01    -1.35393445445065e-01    1.02570267977666e-01     
39531900.0000000         3434800.0000000          100.0000000              -8.28419367170242e-02    7.49089806105474e-02     -1.55081863425658e-01    7.49089806273576e-02     -5.26390506022804e-02    -1.67627260024951e-01    -1.55081863404732e-01    -1.67627260039966e-01    1.35480987321198e-01     
