x(km)                    y(km)                    z(km)                    U(unit)                  magnetic_x(nT)           magnetic_y(nT)           magnetic_z(nT)           
-5.0000000               -5.0000000               30.0000000               -5.30970800108011e-06    1.21384258586630e+02     -2.04269843228183e+01    -5.86645919256976e+02    
-4.0000000               -4.0000000               30.0000000               -5.38301145801879e-06    1.02295049052990e+02     -6.02341705179903e+01    -6.56170484103931e+02    
-3.0000000               -3.0000000               30.0000000               -5.38558000138934e-06    7.27924384146386e+01     -1.14423625341624e+02    -7.29575408612268e+02    
-2.0000000               -2.0000000               30.0000000               -5.28903393269465e-06    2.96259744081442e+01     -1.87135685993280e+02    -8.03711763173947e+02    
-1.0000000               -1.0000000               30.0000000               -5.05698646706720e-06    -3.09379717744225e+01    -2.83188660416268e+02    -8.73016284759627e+02    
0.0000000                0.0000000                30.0000000               -4.64421800776073e-06    -1.12703026895002e+02    -4.07683182452161e+02    -9.28423661403331e+02    
1.0000000                1.0000000                30.0000000               -3.99716524538000e-06    -2.18587896034269e+02    -5.65040609758241e+02    -9.56212871012124e+02    
2.0000000                2.0000000                30.0000000               -3.05712215404340e-06    -3.48858119167942e+02    -7.57180038936559e+02    -9.37326508124276e+02    
3.0000000                3.0000000                30.0000000               -1.76798479915073e-06    -4.98468618783524e+02    -9.80722484696164e+02    -8.48251832489711e+02    
4.0000000                4.0000000                30.0000000               -8.99974965657481e-08    -6.54104214801566e+02    -1.22375672504901e+03    -6.64953995642962e+02    
5.0000000                5.0000000                30.0000000               1.98123511931967e-06     -7.92631377390322e+02    -1.46379783477383e+03    -3.70739676667579e+02    
6.0000000                6.0000000                30.0000000               4.39548350015565e-06     -8.83444039659256e+02    -1.66930786965066e+03    3.35181383158061e+01     
7.0000000                7.0000000                30.0000000               7.03757303552536e-06     -8.96081401171065e+02    -1.80610878929917e+03    5.21704017902979e+02     
8.0000000                8.0000000                30.0000000               9.73495401345072e-06     -8.11128364683383e+02    -1.84700843628902e+03    1.04313805888802e+03     
9.0000000                9.0000000                30.0000000               1.22851943663166e-05     -6.29186062233310e+02    -1.78037561047042e+03    1.53353643050408e+03     
10.0000000               10.0000000               30.0000000               1.44955855602878e-05     -3.72834019671602e+02    -1.61379948694744e+03    1.93210093749995e+03     
11.0000000               11.0000000               30.0000000               1.62210544498601e-05     -8.02284363123135e+01    -1.37172218016483e+03    2.19731597100715e+03     
12.0000000               12.0000000               30.0000000               1.73877753669241e-05     2.06588449982766e+02     -1.08847250111573e+03    2.31537271557616e+03     
13.0000000               13.0000000               30.0000000               1.79964980006112e-05     4.53291686916516e+02     -7.99380588242905e+02    2.29908042000411e+03     
14.0000000               14.0000000               30.0000000               1.81077761306498e-05     6.40161725866780e+02     -5.33015876249623e+02    2.17922962226281e+03     
15.0000000               15.0000000               30.0000000               1.78173629158999e-05     7.62640635432252e+02     -3.06977532475904e+02    1.99307325799146e+03     
16.0000000               16.0000000               30.0000000               1.72315384235200e-05     8.27235332508451e+02     -1.27866921248055e+02    1.77473710691197e+03     
17.0000000               17.0000000               30.0000000               1.64490908106075e-05     8.45965256361006e+02     5.88791839648679e+00     1.55009278208270e+03     
18.0000000               18.0000000               30.0000000               1.55518518617581e-05     8.31853976886189e+02     1.00413711828616e+02     1.33582532164862e+03     
19.0000000               19.0000000               30.0000000               1.46021556979980e-05     7.96345984436531e+02     1.63436007396938e+02     1.14095179711788e+03     
20.0000000               20.0000000               30.0000000               1.36444075683209e-05     7.48355737187694e+02     2.02458088590226e+02     9.69101111321219e+02     
21.0000000               21.0000000               30.0000000               1.27083733640565e-05     6.94283979207942e+02     2.23911333922417e+02     8.20579994985659e+02     
22.0000000               22.0000000               30.0000000               1.18127218499247e-05     6.38446299308607e+02     2.32922517153112e+02     6.93891809971846e+02     
23.0000000               23.0000000               30.0000000               1.09681319503218e-05     5.83588865843618e+02     2.33393998454707e+02     5.86720982006531e+02     
24.0000000               24.0000000               30.0000000               1.01797543939631e-05     5.31346544822198e+02     2.28204139371415e+02     4.96513666601176e+02     
25.0000000               25.0000000               30.0000000               9.44904865309614e-06     4.82600663398528e+02     2.19427414211745e+02     4.20790457005450e+02     
