x(km)             y(km)             z(km)             Txx                      Tyx                      Tzx                      Tyy                      Tzy                      Tzz                      
-5.0000000        -5.0000000        30.0000000        -1.60368652833472e+01    1.22008870853078e+00    -3.67866767192294e+01   -3.50236508875351e+01   -3.01738854296638e+01   5.10605161708839e+01    
-4.0000000        -4.0000000        30.0000000        -2.12803834786817e+01    -2.52291358558937e+00   -4.00902237548515e+01   -4.38494234766284e+01   -3.17448345107208e+01   6.51298069553220e+01    
-3.0000000        -3.0000000        30.0000000        -2.78567285366877e+01    -7.88845880259859e+00   -4.25481998037327e+01   -5.48092221466146e+01   -3.19158299260320e+01   8.26659506832913e+01    
-2.0000000        -2.0000000        30.0000000        -3.58937206418494e+01    -1.53225885986097e+01   -4.32881821688206e+01   -6.82128739571554e+01   -2.96117556428745e+01   1.04106594599003e+02    
-1.0000000        -1.0000000        30.0000000        -4.53158542940892e+01    -2.52448550750043e+01   -4.09877643104634e+01   -8.41909807884793e+01   -2.32308698052797e+01   1.29506835082556e+02    
0.0000000         0.0000000         30.0000000        -5.56090412446863e+01    -3.78759039218471e+01   -3.37885322806410e+01   -1.02444119929442e+02   -1.05346972184095e+01   1.58053161174104e+02    
1.0000000         1.0000000         30.0000000        -6.54538699811756e+01    -5.29206196320139e+01   -1.93706325572497e+01   -1.21841686418356e+02   1.13024319711290e+01    1.87295556399502e+02    
2.0000000         2.0000000         30.0000000        -7.22749310952880e+01    -6.91036402808244e+01   4.57818052460926e+00    -1.39907597572769e+02   4.52441375113175e+01    2.12182528668001e+02    
3.0000000         3.0000000         30.0000000        -7.19476254777800e+01    -8.37081366218565e+01   3.92163478650359e+01    -1.52420768728495e+02   9.32506813289362e+01    2.24368394206317e+02    
4.0000000         4.0000000         30.0000000        -5.91893995975577e+01    -9.25357988317417e+01   8.26946070056089e+01    -1.53635158940174e+02   1.54399373635461e+02    2.12824558537750e+02    
5.0000000         5.0000000         30.0000000        -2.92395726188096e+01    -9.08568885421784e+01   1.28350128222698e+02    -1.37687042895177e+02   2.22983171269510e+02    1.66926615514019e+02    
6.0000000         6.0000000         30.0000000        1.92302117739365e+01     -7.54865633373931e+01   1.64644759063133e+02    -1.01121132123785e+02   2.88179413466816e+02    8.18909203498790e+01    
7.0000000         7.0000000         30.0000000        8.14248316886278e+01     -4.70440419636611e+01   1.78315368888919e+02    -4.52648375635587e+01   3.36591534566268e+02    -3.61599941250385e+01   
8.0000000         8.0000000         30.0000000        1.46213353307168e+02     -1.07520893937678e+01   1.60010985522226e+02    2.32635677890619e+01    3.56931547321662e+02    -1.69476921096239e+02   
9.0000000         9.0000000         30.0000000        1.99463611144075e+02     2.50814369085821e+01    1.09239210889243e+02    9.43643624563102e+01    3.44203209106061e+02    -2.93827973600413e+02   
10.0000000        10.0000000        30.0000000        2.29469685397656e+02     5.21210170239335e+01    3.54235749945352e+01    1.57389002611292e+02    3.01198282608262e+02    -3.86858688008932e+02   
11.0000000        11.0000000        30.0000000        2.31443791811695e+02     6.49642317307598e+01    -4.56023304270311e+01   2.03803203297312e+02    2.37132437333312e+02    -4.35246995108949e+02   
